,FileName
0,MEDEXS120200518101856615.npy
1,MEDEXS120200604091616269.npy
2,MEDEXS120200819081937187.npy
3,MEDEXS120200221082747608.npy
4,fdbfa96e359c57573.npy
5,MEDEXS120200509133508811.npy
6,MEDEXS120200608093405518.npy
7,MEDEXS120200731112814640.npy
8,MEDEXS120200723104302295.npy
10,MEDEXS120200605141549253.npy
11,MEDEXS120201121132936921.npy
12,MEDEXS120200702102448101.npy
13,MEDEXS120201009081517139.npy
14,MEDEXS120200414084917294.npy
15,MEDEXS120200525105443982.npy
16,MEDEXS120200724112652612.npy
17,MEDEXS120200804093218937.npy
18,MEDEXS120200424101815603.npy
19,SYSJ18S20200729135601124a.npy
20,MEDEXS120200812084439302.npy
21,MEDEXS120200429141308937.npy
22,70a54dc013a461240.npy
23,MEDEXS120200706114143171.npy
24,MEDEXS120200424211235864.npy
25,MEDEXS120200321093606413.npy
26,MEDEXS120200714092039296.npy
27,MEDEXS120201009092540378.npy
28,99afdc8f981532034.npy
29,MEDEXS120200717142114937.npy
30,MEDEXS120201009160221479.npy
31,0205222d89f491555.npy
32,MEDEXS120200825082435954.npy
33,MEDEXS120200619153919775.npy
34,c04cd6beca5f60043.npy
35,MEDEXS120200311100432657.npy
36,MEDEXS120200721103632305.npy
37,SYSJ18S20201026101914796a.npy
38,SYSJ18S20201112140749529a.npy
39,MEDEXS120201016104450765.npy
40,MEDEXS120200922103710815.npy
41,MEDEXS120201110161450682.npy
42,MEDEXS120200617112613984.npy
43,MEDEXS120200706153335828.npy
44,e61e241e189966622.npy
45,MEDEXS120200821084030901.npy
46,MEDEXS120200804101933178.npy
47,MEDEXS120200616111947100.npy
48,d931fecbdbba19014.npy
49,495a2dbfe1bb69460.npy
50,MEDEXS120200609082255421.npy
51,MEDEXS120200416152100112.npy
52,MEDEXS120201023094854203.npy
53,MEDEXS120200527100408713.npy
54,d084db4183d170557.npy
55,MEDEXS120201217153346313.npy
56,MEDEXS120200713101051757.npy
57,MEDEXS120201121232107173.npy
58,ecbf7a9379b744769.npy
59,acfc5bd8df3844991.npy
60,MEDEXS120200927095457557.npy
61,da0f05fb459652881.npy
62,MEDEXS120200507111606976.npy
63,MEDEXS120200905125838706.npy
64,MEDEXS120201014112349421.npy
65,MEDEXS120200605134920734.npy
66,6af9e7e4928e31508.npy
67,SYSJ18S20200518092448418a.npy
68,SYSJ15S20200507155735343a.npy
69,MEDEXS120200528105836127.npy
71,SYSJ18S20201009144010456a.npy
72,bc08175faf7a32946.npy
73,MEDEXS120200518095928178.npy
74,MEDEXS120201022090152968.npy
75,SYSJ18S20200622094229264a.npy
76,1102212012040957541236648a.npy
77,MEDEXS120201207090819402.npy
78,2189bcb23d3d16585.npy
79,MEDEXS120201116190458143.npy
80,MEDEXS120201211133355549.npy
81,MEDEXS120200311103008812.npy
82,MEDEXS120200612143855156.npy
83,MEDEXS120200217082043374.npy
84,06550ae579e585763.npy
85,f9e912cd9ce695923.npy
86,SYSJ18S20200414093443848a.npy
87,MEDEXS120200923081652974.npy
88,MEDEXS120201127135042390.npy
89,MEDEXS120200904101729130.npy
90,MEDEXS120200825083849375.npy
91,SYSJ18S202012161041084a.npy
92,MEDEXS120200507100117324.npy
93,MEDEXS120200727083412115.npy
94,MEDEXS120201119084037753.npy
95,MEDEXS120200904093339858.npy
96,MEDEXS120201219093224531.npy
97,73fe82d8611f41739.npy
98,1102212002170535449404779a.npy
99,b891749682bf56782.npy
100,MEDEXS120200605103338828.npy
101,MEDEXS120200216174010117.npy
102,MEDEXS120200427142117579.npy
103,SYSJ18S20200407142720797a.npy
104,MEDEXS120201125152344514.npy
105,MEDEXS120200628081217544.npy
106,MEDEXS120201124090416861.npy
108,SYSJ18S2020062209502415a.npy
109,SYSJ18S20201224142001478a.npy
110,3fb9759d8bf784061.npy
111,MEDEXS120200428084752986.npy
112,MEDEXS120200520103021415.npy
113,b442ab0dfaca99268.npy
114,MEDEXS120200716090958195.npy
115,MEDEXS120200515101346781.npy
116,MEDEXS120200730080655145.npy
117,MEDEXS120200928105051708.npy
119,MEDEXS120200507080845203.npy
120,92380c6c453431937.npy
121,MEDEXS120201119092630200.npy
122,MEDEXS120200525095234518.npy
123,MEDEXS120200326083118906.npy
124,8b2e4034bb4687765.npy
125,MEDEXS120201014083412306.npy
126,aeba90853d4c93673.npy
127,MEDEXS120201127081315109.npy
129,MEDEXS120200928104201671.npy
130,MEDEXS120201023091347638.npy
131,MEDEXS120200317084337323.npy
132,SYSJ18S20200413144658475a.npy
133,MEDEXS120200701140800329.npy
134,MEDEXS120200929130321296.npy
135,732ec758b13b73004.npy
136,94ab8f487e6585483.npy
138,MEDEXS120200927134505937.npy
139,MEDEXS120201228091815652.npy
140,MEDEXS120201022082850486.npy
141,MEDEXS120200514102355252.npy
142,MEDEXS120200525130250828.npy
143,MEDEXS120200705201900154.npy
145,MEDEXS120200604115436883.npy
146,SYSJ18S20200605084523872a.npy
147,MEDEXS120201202093459152.npy
148,df903732655664956.npy
149,MEDEXS120201201090644859.npy
150,d1a96782938421498.npy
151,SHSYMZ7S20201211164521484.npy
152,MEDEXS120201022081041697.npy
153,1102212008131528596178144a.npy
154,SYSJ18S20200312130653968a.npy
155,MEDEXS120200627140756375.npy
156,MEDEXS120200619091403546.npy
157,MEDEXS120200407094343988.npy
158,MEDEXS120201112083943112.npy
159,MEDEXS120201210100018140.npy
160,MEDEXS120200414091512167.npy
161,8d27e24d864144694.npy
162,MEDEXS120201105145517755.npy
163,MEDEXS120201221083448373.npy
164,SYSJ18S20200518102448857a.npy
165,MEDEXS120201116140953449.npy
166,MEDEXS120200416142118748.npy
167,MEDEXS120200408154505565.npy
168,SYSJ18S20200911105803498a.npy
169,MEDEXS120201118084033166.npy
170,MEDEXS120200831101053825.npy
171,MEDEXS120201102145139953.npy
172,MEDEXS120201016083759750.npy
173,MEDEXS120200528082759272.npy
174,MEDEXS120200526083440601.npy
175,MEDEXS120200628110840890.npy
176,MEDEXS120200825085720125.npy
177,MEDEXS120200707142139375.npy
178,1102212004170047131707506a.npy
179,SYSJ18S20200903095006457a.npy
180,MEDEXS120201021132719937.npy
181,MEDEXS120200512231608224.npy
182,MEDEXS120200509092537146.npy
183,e7ba60738bab65659.npy
184,1102212005111045027227904a.npy
185,1003adf7382329808.npy
186,MEDEXS120201008204148798.npy
187,MEDEXS120200424103739312.npy
188,MEDEXS120200730085049140.npy
189,2f10977d231c83015.npy
190,223bac9c375f69455.npy
191,MEDEXS120200427153734684.npy
192,MEDEXS120201222095223224.npy
193,MEDEXS120201106091743140.npy
194,d204dabc26ef25815.npy
195,52f93f21340c22394.npy
197,MEDEXS120200428110551500.npy
198,MEDEXS120201113140629109.npy
199,MEDEXS120200825094543196.npy
